Evidence Type	Pretext	Index	Evidence	Suggested points	Min Score	Max Score	Tooltip
Copy number loss content (For intragenic variants, use section 2E)		1A	1A. Contains protein-coding or other known functionally important elements	0	0	0	The CNV contains or overlaps protein-coding genes or other known functionally important elements.
Copy number loss content (For intragenic variants, use section 2E)		1B	1B. Does NOT contain protein-coding or any known functionally important elements	-0.6	-0.6	-0.6	The CNV is completely void of gene content, including intronic sequence, repetitive elements or pseudogenes. In these scenarios, there may not be any evidence to interrogate about the genomic region, as no genes are present. With no evidence supporting or refuting pathogenicity, the default classification should be one of uncertainty, which is reflected in the recommended default score.  Additional information, however, could move a CNV like this toward either pathogenic (P) or benign (B) as appropriate. Inheritance information from the family being studied (considered in Section 5) could be used to classify this type of CNV as likely benign (LB) or benign (B). However, the possible presence of functionally important elements, such as promoters, enhancers, or other regulatory regions near coding sequence, should be considered with clinical correlation for possible effects on gene expression. In addition, given that CNV breakpoints are not precisely mapped due to gaps in probe or bait coverage, it is important to consider all genes in the maximum CNV interval before presuming a CNV to be clinically benign (even though reporting is often done on the minimal interval only). Further evaluation may be necessary to clarify the genomic content of the CNV for appropriate clinical interpretation. Generally, it is acceptable to adopt a laboratory policy not to report these CNVs or report them in a supplemental list, as there is no relevant literature to interrogate. An exception might be made if the CNV exceeds a size cutoff established by the laboratory.
		2Skip	Skip to Section 3 if your copy number loss DOES NOT overlap these types of genes/regions	0	0	0	DOES NOT overlap established/predicted haploinsufficiency (HI) or established benign genes/genomic regions
Overlap with ESTABLISHED HI genes or genomic regions and consideration of reason for referral		2A	2A. Complete overlap of an established HI gene/genomic region	1	0	1	The CNV completely contains established dosage sensitive genes or genomic regions.
Overlap with ESTABLISHED HI genes or genomic regions and consideration of reason for referral		2B	2B. Partial overlap of an established HI genomic region. The observed CNV does NOT contain the known causative gene or critical region for this established HI genomic region OR Unclear if known causative gene or critical region is affected OR No specific causative gene or critical region has been established for this HI genomic region (e.g. 1p36 deletion)	0	0	0	The CNV partially overlaps an established dosage sensitive genomic region, further evaluation is required to determine whether the causative gene or critical region for the established region is known. If the critical gene/region has not yet been established, additional evidence will be necessary to determine the clinical relevance of the CNV under evaluation. For example, though the clinical significance of the 1p36 deletion (MIM: 607872) has been appreciated for some time, there is still no established causative gene or critical region; deletions overlapping (but not completely encompassing this region) would fall under category 2B, and would require further evidence to determine their classification and clinical significance.
Overlap with ESTABLISHED HI genes or genomic regions and consideration of reason for referral		2C	2C. Partial overlap with the 5 end of an established HI gene (3 end of the gene not involved)...				If the CNV partially overlaps a curated HI or TS gene, additional evaluation to determine the potential functional effect is required based on breakpoint location, involvement of coding sequence (for partial gene deletion/duplication), and evidence from the literature.
Overlap with ESTABLISHED HI genes or genomic regions and consideration of reason for referral	2C	2C-1	2C-1. ... and coding sequence is involved	0.9	0	1	Scoring should be based on the likelihood that a functional protein could still be produced. Deletions that include 5' UTR exons, first coding exons, or internal exons are typically deleterious in LOF genes. If the gene has alternative in-frame methionine downstream of the deletion, or if an alternatively spliced isoform is not encompassed by the deletion, consider downgrading from the suggested default number of points. If a significant portion of the gene is deleted, or if a known functional domain is deleted, consider upgrading the suggested default number of points. If the deletion only involves the 5' UTR, but the promoter is well-characterized and included in the deleted interval, consider upgrading the suggested default number of points.
Overlap with ESTABLISHED HI genes or genomic regions and consideration of reason for referral	2C	2C-2	2C-2. ... and only the 5 UTR is involved	0	0	0.45	The recommended default score is 0. However, there are genes in which there is evidence supporting the role of 5'UTR variants in disease, in these scenarios, it may be appropriate to upgrade the score.
Overlap with ESTABLISHED HI genes or genomic regions and consideration of reason for referral		2D	2D. Partial overlap with the 3 end of an established HI gene (5 end of the gene not involved)...				If the CNV partially overlaps a curated HI or TS gene, additional evaluation to determine the potential functional effect is required based on breakpoint location, involvement of coding sequence (for partial gene deletion/duplication) and evidence from the literature.
Overlap with ESTABLISHED HI genes or genomic regions and consideration of reason for referral	2D	2D-1	2D-1.  ... and only the 3 untranslated region is involved.	0	0	0	One must consider whether or not the resulting protein product is expected to undergo nonsense-mediated decay (NMD). Deletions that involve the last exons of a LOF gene are not universally pathogenic if amino acids in the carboxyl terminus of the encoded protein are dispensable. If only the 3' UTR is involved, the recommended default score is 0.
